"범죄별(1)",범죄별(2),범죄별(3),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"범죄별(1)",범죄별(2),범죄별(3),합계,전과없음,전과,전과,전과,전과,전과,전과,전과,전과,전과,전과,미상
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계
"형법범",기타형법범죄,내란의죄,16,-,-,-,-,-,-,-,-,-,-,-,16
"형법범",기타형법범죄,음용수에관한죄,27,1,12,1,7,-,-,1,2,-,-,1,14
"형법범",기타형법범죄,일수와수리에관한죄,9,-,1,-,-,1,-,-,-,-,-,-,8
"형법범",기타형법범죄,기타,11,-,1,1,-,-,-,-,-,-,-,-,10
"특별법범",소계,소계,561208,160769,255708,65159,42795,30506,21959,16674,12986,9974,8116,47539,144731
"특별법범",가정폭력범죄의처벌등에관한특례법,소계,1242,198,881,133,113,78,59,64,59,55,52,268,163
"특별법범",가축분뇨의관리및이용에관한법률,소계,711,112,380,87,65,52,34,26,24,26,15,51,219
"특별법범",감염병의예방및관리에관한법률,소계,5239,2319,2049,624,369,242,186,140,92,48,49,299,871
"특별법범",개발제한구역의지정및관리에관한특별조치법,소계,391,75,203,41,28,26,19,14,14,9,10,42,113
"특별법범",개인정보보호법,소계,3159,724,547,187,101,63,43,23,26,18,13,73,1888
"특별법범",건강기능식품에관한법률,소계,214,95,47,24,8,4,6,2,1,1,-,1,72
"특별법범",건설기계관리법,소계,311,58,201,41,29,25,20,13,13,11,6,43,52
"특별법범",건설산업기본법,소계,1555,266,824,131,121,98,80,64,45,35,30,220,465
"특별법범",건축법,소계,2351,713,1110,319,175,162,95,65,56,48,24,166,528
"특별법범",게임산업진흥에관한법률,소계,4098,1060,2422,474,383,316,204,206,148,117,92,482,616
"특별법범",결혼중개업의관리에관한법률,소계,81,10,29,8,1,5,5,4,2,1,-,3,42
"특별법범",경범죄처벌법,소계,8318,1366,5591,700,590,474,353,372,314,262,250,2276,1361
"특별법범",고용보험법,소계,4648,681,505,194,112,72,38,18,17,19,5,30,3462
"특별법범",공유수면관리및매립에관한법률,소계,186,34,129,19,8,11,12,10,7,8,10,44,23
"특별법범",공유재산및물품관리법,소계,87,13,58,11,7,6,2,1,5,4,3,19,16
"특별법범",공인중개사법,소계,3712,1314,1441,507,287,187,121,82,48,48,31,130,957
"특별법범",공중위생관리법,소계,1982,822,663,281,144,79,38,36,22,11,12,40,497
"특별법범",공직선거법,소계,159,20,35,13,6,6,1,3,2,1,-,3,104
"특별법범",관세법,소계,572,38,27,7,5,2,2,1,-,-,1,9,507
"특별법범",교통사고처리특례법,소계,71716,26173,29810,8736,5419,3494,2613,1822,1483,1080,906,4257,15733
"특별법범",국가기술자격법,소계,108,40,38,11,10,5,5,2,1,1,-,3,30
"특별법범",국가보안법,소계,64,9,30,5,5,3,7,2,1,1,2,4,25
"특별법범",국민체육진흥법,소계,258,79,149,26,25,17,12,7,9,6,5,42,30
"특별법범",국토의계획및이용에관한법률,소계,1735,349,945,171,143,91,83,62,47,48,40,260,441
"특별법범",근로기준법,소계,22616,874,3583,572,457,401,281,249,187,190,131,1115,18159
"특별법범",근로자퇴직급여보장법,소계,4156,189,649,108,118,84,63,46,35,35,18,142,3318
"특별법범",낚시관리및육성법,소계,132,25,97,14,10,14,5,5,9,5,7,28,10
"특별법범",노동조합및노동관계조정법,소계,568,33,49,17,5,4,1,3,3,-,-,16,486
"특별법범",농수산물유통및가격안정에관한법률,소계,151,53,78,26,10,14,9,5,6,3,1,4,20
"특별법범",농수산물의원산지표시등에관한법률,소계,2160,303,374,148,87,40,22,23,12,12,5,25,1483
"특별법범",농지법,소계,1091,205,413,78,77,42,36,27,28,17,19,89,473
"특별법범",대기환경보전법,소계,2586,358,1077,210,173,127,102,78,51,57,42,237,1151
"특별법범",대부업등의등록및금융이용자보호에관한법률,소계,1353,283,736,185,113,90,63,52,62,30,32,109,334
"특별법범",도로교통법,소계,9879,3055,5373,1278,888,595,450,336,294,222,186,1124,1451
"특별법범",도로교통법(무면허운전),소계,21136,5626,14899,2551,2066,1698,1402,1104,879,782,605,3812,611
"특별법범",도로교통법(사고후미조치),소계,6026,1609,2949,789,501,367,257,180,150,112,85,508,1468
"특별법범",도로교통법(음주운전),소계,101736,35606,64417,17968,11604,8152,5801,4192,3195,2439,1913,9153,1713
"특별법범",도로교통법(음주측정거부),소계,3498,620,2780,519,381,320,272,193,184,133,105,673,98
"특별법범",도로법,소계,7780,1153,4643,828,689,587,477,326,287,225,192,1032,1984
"특별법범",도시및주거환경정비법,소계,921,154,191,56,32,34,21,10,6,5,4,23,576
"특별법범",독점규제및공정거래에관한법률,소계,30,5,3,1,2,-,-,-,-,-,-,-,22
"특별법범",디자인보호법,소계,125,16,18,9,2,3,-,-,-,2,-,2,91
"특별법범",마약류관리에관한법률(대마),소계,2382,894,1003,295,186,112,80,53,47,28,27,175,485
"특별법범",마약류관리에관한법률(마약),소계,3821,2359,1106,456,204,118,94,57,40,23,22,92,356
"특별법범",마약류관리에관한법률(향정),소계,13433,4574,6861,1215,751,663,441,412,290,243,236,2610,1998
"특별법범",물환경보전법,소계,626,116,217,52,45,28,19,18,13,12,8,22,293
"특별법범",배타적경제수역에서의외국인어업등에관한주권적권리의행사에관한법률,소계,75,46,9,4,4,1,-,-,-,-,-,-,20
"특별법범",범죄수익은닉의규제및처벌등에관한법률,소계,890,58,109,26,16,12,9,10,9,3,5,19,723
"특별법범",변호사법,소계,427,49,153,20,20,15,8,8,12,6,4,60,225
"특별법범",병역법,소계,4866,2908,1606,641,349,179,117,88,61,44,25,102,352
"특별법범",보조금관리에관한법률,소계,1749,876,666,249,128,83,54,35,26,19,12,60,207
"특별법범",부동산실권리자명의등기에관한법률,소계,902,195,313,75,53,36,19,15,10,9,15,81,394
"특별법범",부정경쟁방지및영업비밀보호에관한법률,소계,866,198,142,70,30,12,8,7,3,1,4,7,526
"특별법범",부정수표단속법,소계,457,52,150,27,14,34,7,8,14,4,4,38,255
"특별법범",사행행위등규제및처벌특례법,소계,131,23,93,16,17,18,7,5,10,1,2,17,15
"특별법범",산림자원의조성및관리에관한법률,소계,618,83,259,45,53,28,38,15,14,12,9,45,276
"특별법범",산업안전보건법,소계,3581,202,582,148,117,91,47,54,26,30,11,58,2797
"특별법범",산지관리법,소계,1855,285,772,140,125,109,83,65,39,34,23,154,798
"특별법범",상표법,소계,2975,866,900,326,185,111,78,55,40,18,14,73,1209
"특별법범",석유및석유대체연료사업법,소계,376,48,192,31,28,20,18,14,19,10,13,39,136
"특별법범",선박안전법,소계,177,15,150,21,22,13,8,13,10,9,6,48,12
"특별법범",선박직원법,소계,190,41,127,10,16,14,9,11,7,7,8,45,22
"특별법범",성매매알선등행위의처벌에관한법률,소계,7086,2860,3166,986,574,415,250,220,163,104,80,374,1060
"특별법범",수도법,소계,121,26,57,16,9,5,4,5,6,3,2,7,38
"특별법범",수산업법,소계,698,28,441,40,22,32,24,30,36,24,23,210,229
"특별법범",수산자원관리법,소계,641,81,340,54,48,37,25,23,13,19,17,104,220
"특별법범",스토킹범죄의처벌등에관한법률,소계,11501,2949,5688,1175,831,613,490,355,323,239,189,1473,2864
"특별법범",식품위생법,소계,7077,1869,3370,933,669,438,276,210,173,123,94,454,1838
"특별법범",신용정보의이용및보호에관한법률,소계,34,2,13,3,1,2,1,2,-,-,-,4,19
"특별법범",아동?청소년의성보호에관한법률(성매수등),소계,790,347,364,100,68,40,35,22,11,14,8,66,79
"특별법범",아동·청소년의성보호에관한법률(성착취물등),소계,1734,1248,301,146,57,28,16,10,14,4,3,23,185
"특별법범",아동복지법,소계,15317,6138,6278,1935,1207,803,522,385,278,239,190,719,2901
"특별법범",액화석유가스의안전관리및사업법,소계,117,23,69,17,9,13,8,9,2,2,2,7,25
"특별법범",약사법,소계,1196,305,380,105,82,55,33,35,22,10,8,30,511
"특별법범",여객자동차운수사업법,소계,740,184,445,77,76,64,45,38,25,19,15,86,111
"특별법범",여신전문금융업법,소계,1246,366,529,97,60,59,36,33,23,23,18,180,351
"특별법범",영유아보육법,소계,151,90,37,24,6,2,1,2,-,1,-,1,24
"특별법범",예비군법,소계,2514,904,1485,409,294,191,148,97,74,43,41,188,125
"특별법범",옥외광고물등의관리와옥외광고산업진흥에관한법률,소계,149,36,91,20,13,10,12,3,4,2,6,21,22
"특별법범",외국환거래법,소계,586,191,93,27,15,11,9,10,5,2,-,14,302
"특별법범",위험물안전관리법,소계,537,49,103,29,23,17,15,3,4,3,2,7,385
"특별법범",유사수신행위의규제에관한법률,소계,1913,356,708,137,98,88,44,55,40,30,21,195,849
"특별법범",의료기기법,소계,234,86,61,16,16,13,7,4,1,1,-,3,87
"특별법범",의료법,소계,3736,1287,1098,409,215,128,87,72,34,27,20,106,1351
"특별법범",자동차관리법,소계,23057,5902,10809,2801,1877,1390,993,746,531,401,323,1747,6346
"특별법범",자동차손해배상보장법,소계,14027,1427,4116,698,573,465,366,305,225,164,175,1145,8484
"특별법범",자본시장과금융투자업에관한법률,소계,929,143,238,73,50,32,23,10,9,4,6,31,548
"특별법범",저작권법,소계,14984,3050,2063,858,447,234,157,91,52,40,39,145,9871
"특별법범",전자금융거래법,소계,11638,4102,5699,1449,976,655,433,362,288,229,173,1134,1837
"특별법범",전파법,소계,364,22,55,13,14,6,8,6,3,1,1,3,287
