year,crime_lvl1,crime_lvl2,crime_lvl3,group,detail,count
2023,특별법범,범죄수익은닉의규제및처벌등에관한법률,소계,합계,소계,890
2023,특별법범,변호사법,소계,합계,소계,427
2023,특별법범,병역법,소계,합계,소계,4866
2023,특별법범,보조금관리에관한법률,소계,합계,소계,1749
2023,특별법범,부동산실권리자명의등기에관한법률,소계,합계,소계,902
2023,특별법범,부정경쟁방지및영업비밀보호에관한법률,소계,합계,소계,866
2023,특별법범,부정수표단속법,소계,합계,소계,457
2023,특별법범,사행행위등규제및처벌특례법,소계,합계,소계,131
2023,특별법범,산림자원의조성및관리에관한법률,소계,합계,소계,618
2023,특별법범,산업안전보건법,소계,합계,소계,3581
2023,특별법범,산지관리법,소계,합계,소계,1855
2023,특별법범,상표법,소계,합계,소계,2975
2023,특별법범,석유및석유대체연료사업법,소계,합계,소계,376
2023,특별법범,선박안전법,소계,합계,소계,177
2023,특별법범,선박직원법,소계,합계,소계,190
2023,특별법범,성매매알선등행위의처벌에관한법률,소계,합계,소계,7086
2023,특별법범,수도법,소계,합계,소계,121
2023,특별법범,수산업법,소계,합계,소계,698
2023,특별법범,수산자원관리법,소계,합계,소계,641
2023,특별법범,스토킹범죄의처벌등에관한법률,소계,합계,소계,11501
2023,특별법범,식품위생법,소계,합계,소계,7077
2023,특별법범,신용정보의이용및보호에관한법률,소계,합계,소계,34
2023,특별법범,아동?청소년의성보호에관한법률(성매수등),소계,합계,소계,790
2023,특별법범,아동·청소년의성보호에관한법률(성착취물등),소계,합계,소계,1734
2023,특별법범,아동복지법,소계,합계,소계,15317
2023,특별법범,액화석유가스의안전관리및사업법,소계,합계,소계,117
2023,특별법범,약사법,소계,합계,소계,1196
2023,특별법범,여객자동차운수사업법,소계,합계,소계,740
2023,특별법범,여신전문금융업법,소계,합계,소계,1246
2023,특별법범,영유아보육법,소계,합계,소계,151
2023,특별법범,예비군법,소계,합계,소계,2514
2023,특별법범,옥외광고물등의관리와옥외광고산업진흥에관한법률,소계,합계,소계,149
2023,특별법범,외국환거래법,소계,합계,소계,586
2023,특별법범,위험물안전관리법,소계,합계,소계,537
2023,특별법범,유사수신행위의규제에관한법률,소계,합계,소계,1913
2023,특별법범,의료기기법,소계,합계,소계,234
2023,특별법범,의료법,소계,합계,소계,3736
2023,특별법범,자동차관리법,소계,합계,소계,23057
2023,특별법범,자동차손해배상보장법,소계,합계,소계,14027
2023,특별법범,자본시장과금융투자업에관한법률,소계,합계,소계,929
2023,특별법범,저작권법,소계,합계,소계,14984
2023,특별법범,전자금융거래법,소계,합계,소계,11638
2023,특별법범,전파법,소계,합계,소계,364
2023,특별법범,정보통신망이용촉진및정보보호등에관한법률,소계,합계,소계,14851
2023,특별법범,조세범처벌법,소계,합계,소계,3390
2023,특별법범,주민등록법,소계,합계,소계,2273
2023,특별법범,주차장법,소계,합계,소계,109
2023,특별법범,주택법,소계,합계,소계,787
2023,특별법범,중대재해처벌등에관한법률,소계,합계,소계,69
2023,특별법범,직업안정법,소계,합계,소계,308
2023,특별법범,집회및시위에관한법률,소계,합계,소계,615
2023,특별법범,청소년보호법,소계,합계,소계,8534
2023,특별법범,총포?도검?화약류등의안전관리에관한법률,소계,합계,소계,507
2023,특별법범,최저임금법,소계,합계,소계,253
2023,특별법범,축산물위생관리법,소계,합계,소계,386
2023,특별법범,출입국관리법,소계,합계,소계,2231
2023,특별법범,통신비밀보호법,소계,합계,소계,350
2023,특별법범,특가법(도주차량),소계,합계,소계,7864
2023,특별법범,특허법,소계,합계,소계,208
2023,특별법범,폐기물관리법,소계,합계,소계,2257
2023,특별법범,풍속영업의규제에관한법률,소계,합계,소계,128
2023,특별법범,하천법,소계,합계,소계,135
2023,특별법범,학원의설립운영및과외교습에관한법률,소계,합계,소계,255
2023,특별법범,화물자동차운수사업법,소계,합계,소계,1534
2023,특별법범,화재로인한재해보상과보험가입에관한법률,소계,합계,소계,8
2023,특별법범,화재의예방및안전에관한법률/소방시설설치및관리에관한법률,소계,합계,소계,857
2023,특별법범,화학물질관리법,소계,합계,소계,514
2023,특별법범,기타특별법,소계,합계,소계,50430
2023,합계,소계,소계,전과없음,소계,346651
2023,형법범,소계,소계,전과없음,소계,185882
2023,형법범,재산범죄,소계,전과없음,소계,87971
2023,형법범,재산범죄,절도,전과없음,소계,37979
2023,형법범,재산범죄,장물,전과없음,소계,248
2023,형법범,재산범죄,사기,전과없음,소계,30553
2023,형법범,재산범죄,횡령,전과없음,소계,9314
2023,형법범,재산범죄,배임,전과없음,소계,735
2023,형법범,재산범죄,손괴,전과없음,소계,9142
2023,형법범,강력범죄(흉악),소계,전과없음,소계,14871
2023,형법범,강력범죄(흉악),살인,전과없음,소계,209
2023,형법범,강력범죄(흉악),강도,전과없음,소계,262
2023,형법범,강력범죄(흉악),방화,전과없음,소계,285
2023,형법범,강력범죄(흉악),성폭력,전과없음,소계,14115
2023,형법범,강력범죄(폭력),소계,전과없음,소계,53590
2023,형법범,강력범죄(폭력),폭행,전과없음,소계,34273
2023,형법범,강력범죄(폭력),상해,전과없음,소계,9227
2023,형법범,강력범죄(폭력),협박,전과없음,소계,5336
2023,형법범,강력범죄(폭력),공갈,전과없음,소계,2327
2023,형법범,강력범죄(폭력),약취와유인,전과없음,소계,96
2023,형법범,강력범죄(폭력),체포와감금,전과없음,소계,405
2023,형법범,강력범죄(폭력),폭력행위등(손괴강요주거침입등),전과없음,소계,1809
2023,형법범,강력범죄(폭력),폭력행위등(단체등의구성?활동),전과없음,소계,117
2023,형법범,위조범죄,소계,전과없음,소계,3514
2023,형법범,위조범죄,통화,전과없음,소계,10
2023,형법범,위조범죄,유가증권·인지·우표,전과없음,소계,4
2023,형법범,위조범죄,문서,전과없음,소계,3372
2023,형법범,위조범죄,인장,전과없음,소계,128
2023,형법범,공무원범죄,소계,전과없음,소계,390
2023,형법범,공무원범죄,직무유기,전과없음,소계,86
2023,형법범,공무원범죄,직권남용,전과없음,소계,131
2023,형법범,공무원범죄,수뢰,전과없음,소계,143
2023,형법범,공무원범죄,증뢰,전과없음,소계,30
2023,형법범,풍속범죄,소계,전과없음,소계,4712
2023,형법범,풍속범죄,도박과복표,전과없음,소계,3885
2023,형법범,풍속범죄,신앙,전과없음,소계,51
2023,형법범,풍속범죄,기타음란행위,전과없음,소계,776
2023,형법범,과실범죄,소계,전과없음,소계,3452
